INFO  | 2021-06-19 13:09:37 - старт сервера
INFO  | 2021-06-19 13:09:37 - добавлены команды
INFO  | 2021-06-19 13:09:37 - создан сервер
INFO  | 2021-06-19 13:10:05 - принят клиент с ip: null
ERROR | 2021-06-19 13:10:05 - null
INFO  | 2021-06-19 13:10:32 - старт сервера
INFO  | 2021-06-19 13:10:32 - добавлены команды
INFO  | 2021-06-19 13:10:32 - создан сервер
INFO  | 2021-06-19 13:10:34 - старт сервера
INFO  | 2021-06-19 13:10:34 - добавлены команды
INFO  | 2021-06-19 13:10:34 - создан сервер
INFO  | 2021-06-19 13:10:52 - принят клиент с ip: null
ERROR | 2021-06-19 13:10:52 - null
INFO  | 2021-06-19 13:11:52 - старт сервера
INFO  | 2021-06-19 13:11:52 - добавлены команды
INFO  | 2021-06-19 13:11:52 - создан сервер
INFO  | 2021-06-19 13:12:28 - старт сервера
INFO  | 2021-06-19 13:12:28 - добавлены команды
INFO  | 2021-06-19 13:12:28 - создан сервер
INFO  | 2021-06-19 13:12:47 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-19 13:12:47 - сервер выполнил или отверг комнаду
INFO  | 2021-06-19 13:12:47 - отправлен результат
INFO  | 2021-06-19 14:55:32 - старт сервера
INFO  | 2021-06-19 14:55:32 - добавлены команды
INFO  | 2021-06-19 14:55:32 - создан сервер
INFO  | 2021-06-19 14:59:48 - старт сервера
INFO  | 2021-06-19 14:59:48 - добавлены команды
INFO  | 2021-06-19 14:59:48 - создан сервер
